Type,Land Area(m2),Building Age,Building Area(m2),Price,Price per area(NTD/m2),Parking Area((m2)),Parking Area
房地(土地+建物),6.34,831111,55.19,12900000,233738,0,0
房地(土地+建物),4.96,850705,38.79,4300000,110853,0,0
房地(土地+建物)+車位,13.72,970130,149.24,24000000,160815,12.96,0
房地(土地+建物)+車位,22.45,970723,136.2,20300000,149046,34.6,0
房地(土地+建物)+車位,33.51,931130,242.78,47880000,197216,51.07,0
房地(土地+建物),15.12,920910,47.74,12280000,257227,0,0
房地(土地+建物),27.44,731204,115.29,13800000,119698,0,0
房地(土地+建物)+車位,16.9,971017,133.73,21500000,160772,0,0
房地(土地+建物)+車位,23.43,940914,142.73,23880000,167309,37.71,0
房地(土地+建物)+車位,28.03,870925,170.77,27500000,161035,38,0
房地(土地+建物)+車位,31.4,1040522,167.03,28200000,220220,47.15,1800000
房地(土地+建物)+車位,17.71,920910,69.59,13000000,186808,0,0
房地(土地+建物),24.22,720604,101.13,13100000,129536,0,0
房地(土地+建物),21.46,891101,94.37,19500000,206633,0,0
房地(土地+建物),23.14,730724,82.78,9080000,109688,0,0
房地(土地+建物),11.17,781107,130.76,26580000,203273,0,0
房地(土地+建物)+車位,33.48,1031023,201.68,42120000,208846,26.37,0
房地(土地+建物)+車位,33.48,1031023,201.68,42880000,212614,26.37,0
房地(土地+建物),21.07,750807,65.52,11500000,175519,0,0
房地(土地+建物),23.75,710226,100.27,12660000,126259,0,0
房地(土地+建物),14.08,880824,60.21,12400000,205946,0,0
房地(土地+建物),37.59,760410,118.44,12660000,106881,0,0
房地(土地+建物)+車位,79.35,1010626,360.44,47750000,132477,66.32,0
房地(土地+建物)+車位,149.14,1010626,652.14,88550000,135784,99.48,0
房地(土地+建物),33.22,740702,177.9,24500000,137718,0,0
房地(土地+建物),29.55,670828,80.99,12250000,151253,0,0
房地(土地+建物),49.24,860526,129.81,14680000,113088,0,0
房地(土地+建物),14.87,860710,43.1,7500000,174014,0,0
房地(土地+建物),4.86,960621,48.77,9150000,187615,0,0
房地(土地+建物),24.86,701015,86.77,14500000,167108,0,0
房地(土地+建物),15.87,721013,91.15,18500000,202962,0,0
房地(土地+建物),31.04,701015,98.43,13750000,139693,0,0
房地(土地+建物),35.9,730421,125.88,20000000,158881,0,0
房地(土地+建物),30.07,741004,112.18,10680000,95204,0,0
房地(土地+建物)+車位,21.14,1040630,282.9,43300000,184925,69.3,3800000
房地(土地+建物)+車位,31.86,870911,242.97,29600000,121826,41.58,0
房地(土地+建物),29.06,720323,103.34,13200000,127734,0,0
房地(土地+建物),28.34,691103,184.14,20500000,111328,0,0
房地(土地+建物),24.3,690806,83.94,11100000,132237,0,0
房地(土地+建物)+車位,41.08,821213,132.25,18560000,140351,30.35,0
房地(土地+建物),33.4,680830,91.57,8380000,91515,0,0
房地(土地+建物),30.65,680830,90.29,8380000,92812,0,0
房地(土地+建物),27.64,700216,181.64,11000000,60559,0,0
房地(土地+建物)+車位,14.31,990520,169.73,23000000,135509,27.12,0
房地(土地+建物)+車位,7.13,971029,114.47,18000000,157246,46.95,0
房地(土地+建物)+車位,22.81,970521,132.11,16200000,122616,43.42,0
建物,0,1051025,83.68,7884000,94216,0,0
建物,0,1051025,50.69,4884000,96350,0,0
建物,0,1051025,150.9,13404000,88827,0,0
房地(土地+建物),13.7,670202,73.71,9800000,132953,0,0
房地(土地+建物),33.05,770307,107.83,10000000,92739,0,0
房地(土地+建物),1.75,1050331,26.1,4840000,185441,0,0
房地(土地+建物),31.8,681101,106.57,9250000,86797,0,0
房地(土地+建物),26.28,711023,120.41,15000000,124574,0,0
房地(土地+建物)+車位,23.11,1050721,282.98,105000000,371051,35.63,0
房地(土地+建物)+車位,30.05,940126,277.7,65000000,234066,77.38,0
房地(土地+建物)+車位,13.76,820805,57.95,10000000,172563,0,0
房地(土地+建物)+車位,59.28,920102,451.48,128740000,285151,100.62,0
房地(土地+建物),32.86,750401,118.77,15000000,126295,0,0
房地(土地+建物)+車位,69.74,1050608,580.76,73200000,214022,309.76,15200000
房地(土地+建物),11,850917,56.2,13500000,240214,0,0
房地(土地+建物),28.79,690603,99.49,11700000,117600,0,0
房地(土地+建物),17.14,660120,84.92,10500000,123646,0,0
房地(土地+建物)+車位,23.16,1011122,136.41,31600000,240653,12.58,1800000
房地(土地+建物),12.35,851212,96.98,37000000,381522,0,0
房地(土地+建物),6.4,730605,65.61,10600000,161561,0,0
房地(土地+建物),36.75,831229,112.65,22280000,197781,0,0
房地(土地+建物),11.69,970131,67.75,11680000,172399,0,0
房地(土地+建物)+車位,130.83,1000519,303.44,42000000,138413,0,0
房地(土地+建物),4.73,720725,20.17,1830000,90729,0,0
房地(土地+建物),25.75,630620,88.14,4112300,46656,0,0
房地(土地+建物),111.46,740211,190.38,24800000,130266,0,0
房地(土地+建物),5.3,950418,68.62,24500000,357039,0,0
房地(土地+建物),18.43,760423,99.78,30000000,300661,0,0
房地(土地+建物)+車位,15.19,1050721,179.3,60800000,364918,17.62,1800000
房地(土地+建物),8,971205,44.44,8000000,180018,0,0
房地(土地+建物)+車位,18.21,910510,166.3,26000000,156344,0,0
房地(土地+建物),12.82,1050914,69.48,20210000,290875,0,0
房地(土地+建物),3.85,850730,33.53,5280000,157471,0,0
房地(土地+建物),3.12,671002,26.96,4000000,148368,0,0
房地(土地+建物),34.22,790115,135.56,20500000,151225,0,0
房地(土地+建物),17.83,560921,38.68,4000000,103413,0,0
房地(土地+建物),14.15,740503,100.89,16000000,158589,0,0
房地(土地+建物),28.43,670308,100.04,15000000,149940,0,0
房地(土地+建物),4.82,711209,48.79,7200000,147571,0,0
房地(土地+建物)+車位,48.5,1031212,309.43,59880000,193517,86.66,0
房地(土地+建物),4.9,861115,53.42,7480000,140022,0,0
房地(土地+建物),19.6,710804,75.74,11600000,153156,0,0
房地(土地+建物)+車位,21.77,971219,122.1,20200000,165438,32.91,0
房地(土地+建物),18.93,840801,48.85,7520000,153941,0,0
房地(土地+建物)+車位,55.25,820602,220.76,20600000,93314,0,0
